tweet,COMPANY
IBM's 2018 Annual Report is now available. Read the Chairman's Letter here: ,IBM
"""We need you. We need your voice. Not just because it's the right thing, but because it makes our company stronger. It makes our society stronger. It makes the world better."" 

CMO @michelleapeluso on the importance of gender equality: ",IBM
We are LIVE with @ibm's CMO @michelleapeluso chatting about #InternationalWomensDay and the ways #IBM is working to make their workforce diverse and inclusive.  #BeEqual #Sponsored,IBM
"This International Women's Day, we pledge to #BeEqual and elevate women in the workforce, because achieving gender equality will require work from everyone. 

Tell the world how you'll take action: ",IBM
"Despite widely publicized advocacy for #genderequality in leadership, most organizations are not yet close to achieving it. Weve created a roadmap that can help all organizations #BeEqual: ",IBM
"Inside the labs of #IBMResearch, we invent things that matter to the world. Learn how we're advancing some of the most promising and disruptive technologies like AI, blockchain and quantum computing: ",IBM
"#TBT: Last summer, @IBM helped send its first #AI-powered assistant to space. Watch the mission through the eyes of CIMON. ",IBM
"IBM hits quantum computing milestone, may see 'Quantum Advantage' in 2020s ",IBM
"Pushing the frontiers of quantum computing, #IBMQ has achieved the highest level of quantum power to date: ",IBM
".@IBM achieves highest Quantum Volume to date, establishing a roadmap for reaching Quantum Advantage. Learn more: ",IBM
"Our employees mean the  to us! Thank you to all IBMers, today and every day.  #EmployeeAppreciationDaypic.twitter.com/JohtW5h9s",IBM
"Gail Johnson was a programmer at IBM during the Mercury, Gemini, and Apollo space programs .

To support the #Apollo11 mission, she helped write programs to process data coming from the spacecraft. #BlackHistoryMonthpic.twitter.com/0xIyDC7e4",IBM
"George Carter was hired as the first black executive of IBM in 1968.

He was also our first Director of Equal Opportunity and helped build progressive workplace policies to foster a culture of diversity and inclusion. #BlackHistoryMonth | #InclusiveIBMpic.twitter.com/l07Zw2o6S",IBM
There is an increased urgency for companies to maintain trust and transparency when handling user data. @IBM is proud to be one of the few leading companies in the tech space named in Ethisphere Institute's 2019 list of the Worlds Most Ethical Companies.,IBM
" Technology has done a lot of good for the world, but we have the power to do so much more, together. 

 Click below and swipe to see how the world agrees. #DearTech | #Oscars",IBM
"Dear Tech, 
You've done a lot of good for the world. 
But now we need to talk.
#Ad #DearTech #Oscarspic.twitter.com/1vBJqGkz1",IBM
"Dear Tech,

I love the way you help me connect.
But can you do more?

Lets talk.

#DearTech #Oscars #adpic.twitter.com/TlpvN1UGE",IBM
"Dear Tech,

Youve created some things I love.
But you have the potential to do so much more.
 
Lets talk.

#Ad #DearTech #Oscarspic.twitter.com/HVSkwzuv2",IBM
"Can we use blockchain to help reduce poverty? Or build AI that fights bias?

Technology has done a lot of good for the world, but we have the power to do so much more, together. Let's put smart to work. #DearTech | #Oscarspic.twitter.com/1t0fyI9Mp",IBM
"Sandra K. Johnson was the first black woman to earn a PhD in Electrical Engineering in the US. 

She was also part of the design team that developed the prototype for IBM Deep Blue, the world famous chess machine. #BlackHistoryMonthpic.twitter.com/blaPX8n6n",IBM
IBM is the top choice for Gen Z employees in tech: Glassdoor ,IBM
IBM researchers unveiled five predictions on how technology will transform every stage of the food supply chain within the next five years: ,IBM
"Cigna and Sentara Healthcare have joined IBM's blockchain health utility network to improve data sharing
",IBM
"One of Europes largest #banks, Banco Santander, and tech giant #IBM have announced an agreement to accelerate the banks development of technologies such as #blockchain:",IBM
"From CEO Ginni Rometty's opening address, to the #IBM5in5, #ProjectDebater's live debate and more, revisit your favorite #Think2019 sessions, and the moments you missed here: ",IBM
"""That's a trillion dollar market, and we'll be number 1 in it,"" IBM CEO Ginni Rometty says about the hybrid cloud. ",IBM
" That's a wrap. Thank you for following along with us during #Think2019.  

 Click below and swipe to explore a recap of the major news from this week.",IBM
I pledge to be curious and explore ideas and opinions that are different than mine. #BeEqua,IBM
I pledge to be accountable and make equality a formal business priority. #BeEqua,IBM
I pledge to be respectful and create a work space in which everyone can be their whole selves. #BeEqua,IBM
I pledge to be receptive and solicit opinions from all the voices in the room. #BeEqua,IBM
I pledge to be inclusive and ensure that all my colleagues feel heard and validated. #BeEqua,IBM
I pledge to be cognizant and recognize and correct unconscious bias. #BeEqua,IBM
I pledge to be open and have hard conversations about equality. #BeEqua,IBM
I pledge to be intentional and mentor women for leadership roles. #BeEqua,IBM
I pledge to be flexible and accommodate for work-life balance. #BeEqua,IBM
I pledge to be vocal and give people an opportunity to speak up. #BeEqua,IBM
I pledge to be aware and hire the best qualified people even if they are different than me. #BeEqua,IBM
I pledge to be proactive and implement change within my own team. #BeEqua,IBM
"Today were asking you to #BeEqual and take action to elevate women in the workforce. Achieving gender equality will take work from all of us - men and women alike. Are you in?

Tell the world how youll do your part by retweeting a pledge from this thread.pic.twitter.com/3eIm3s3qE",IBM
"IBM CEO Ginni Rometty backstage with Abby Kearns @cloudfoundry, Jim Zemlin @linuxfoundation , Steve O'Grady @redmonk , Andre Fuetsch at AT&T, Marcelo Labre @MorganStanley , & @rwlord  just before their #OpenSource enterprise innovation panel. #Think2019pic.twitter.com/iUt7cvGGH",IBM
"The data is clear youre awesome. Were #Thinkingofyou today 

Send your loved ones a special note, designed for those who believe love isnt a bugits a feature: ",IBM
"From food safety to AI to Red Hat and coding, all the best highlights from #Think2019
 Click below and swipe to explore major news and what to look out for today.",IBM
"Watch IBM researchers unveil their 5 predictions on how technology will change every stage of the food supply chain in the next 5 years.  

#IBM5in5 | #Think2019",IBM
" Yesterday, CEO Ginni Rometty took the main stage.  

 Click below and swipe to explore a recap of the chairman's address and for what's coming next.",IBM
"Technology has done a lot of good for the world. But we have the power to do so much more, together. 

Lets expect more from technology. Lets put smart to work.pic.twitter.com/jBtZVJlO6",IBM
"We are launching Code and Response, a $25 million, four-year deployment initiative to ensure open source technologies are put to work in the field, starting with the 2018 #CallforCode winner Project Owl in Puerto Rico: ",IBM
"As part of our global commitment to skills training, we recently partnered with @CTATech to launch the CTA Apprenticeship Coalition to help close the skills gap in tech: ",IBM
Our new hybrid cloud capabilities are designed to simplify and speed the secure journey to hybrid cloud: ,IBM
Watson is the worlds most open AI for business that can run on any public or private cloud:`,IBM
Watch IBM CEO Ginni Rometty and some of the world's top business leaders live at #Think2019,IBM
"Today, we're thrilled to announce #WatsonAnywhere, IBM's next step in creating technology that is more open and accessible than ever before. Businesses can now deploy #AI wherever their data resides across any cloud platform  learn more: ",IBM
" #Think2019 has officially begun.   

 Click below and swipe to explore major news from yesterday like #ProjectDebater and #IBM5in5, and for what to expect today.",IBM
Watch #ProjectDebater take on a debating champion in front of a live audience at #Think2019:,IBM
"Take everything you know about AI, and put it up for debate. Can a computer think like a human? 

Tune in at 5PM PST to watch #ProjectDebater, the first AI system that can debate humans on complex topics, in a live debate: ",IBM
Introducing the 2019 #IBM5in5: From Seed to Shelf...How @IBM innovations will transform every stage of the food supply chain within the next five years.  Learn more: ,IBM
" Welcome to #Think2019, where the worlds most celebrated visionaries,  technologists and innovators have gathered to connect, inspire and learn.   

 Click below and swipe to learn everything there is to know.",IBM
"This #NationalInventorsDay, IBM researchers are unveiling 5 predictions on how technology will transform every stage of the food supply chain in the next five years: ",IBM
